微博id,发布者姓名,发布者性别,发布者地区,发布者关注数,发布者粉丝数,微博正文,原始图片url,发布位置,发布时间,发布工具,点赞数,转发数,评论数
HqX1Pjby6,檀伊兮,女,河南,342,1276,檀伊兮:今天天气放晴  伴随着即将离职突然想打卡小半年达成的成就✅书《真相》《娱乐至死》《月亮与六便士》《平凡的世界》（123）✅电影《绿皮书》《风雨云》《流浪地球》《飞驰人生》《疯狂外星人》《爱在黎明破晓前》《爱在日落黄昏时》✅纪录片《ymdcx》✅电视剧《都挺好》《白蛇传》我发现看书会上瘾是真的！我之前觉得看书的人得多闲多无聊？现在觉得真香！书能带给我的远远超出我的想象！并且有一个学电影的好朋友和老师也太棒了吧！去影院都自带扫雷效果哈哈哈哈！忽然想要是时光永驻，一直停留在毕业前该多好。转念一想，不断成长，任凭岁月静静流淌，我也并非一无所获 ,无,无,2019/4/23 13:40,叨叨碎碎念Android,6,0,0
HqWbHuxEr,吃一口草莓奶油泡芙的废话薄,女,其他,0,86,吃一口草莓奶油泡芙的废话薄:昨晚上梦见去旅游偶遇屈楚萧在看星星我日还打了招呼对话如下👇🏻我：嗨你是流浪地球屈什么？（隔得远大声吼）屈：屈楚萧我：对对对你一个人来旅游吗（好酷哦）屈：是啊（准备起身要走）我：拜拜一路玩的开心啊屈：好再见👋🏻现实生活中碰到了我可能都不敢看他哈哈哈哈哈哈哈哈哈哈哈哈哈哈哈 ,无,无,2019/4/23 11:31,iPhone 8 Plus,1,1,0
HqONSetYf,高庆一,男,北京,409,1029168,高庆一:中国深空探测是以探月工程为起点，根据中国探月工程“绕”、“落”、“回”三步走战略，实现探测器绕月飞行、软着陆月球表面、以及月表采样返回，并计划在月球建立研究基地。在今年底，即将会实现月球表面采样返回。载人登月还在论证过程中；火星探测也是深空探测的重要组成部分，可能会纳入十四·五规划当中。空间站建设是中国航天未来发展重点。北斗组网完成后，对促进航天应用将取得重大效益；我希望我们能向着宇宙的尽头迈出坚实的每一步，在遥远的未来，当我们人类面临要在“流浪地球计划”和“火种计划”之间选择的时候，我们起码能够让两个方案成功的概率都能加大一些。人之所以为人，是因为我们有“明知其不可为而为之”的探索精神。 http://t.cn/EafgVhE ,无,无,2019/4/22 16:44,iPhone客户端,751,63,185
HqOw4z46v,欧美抢鲜看,女,北京,11,245,欧美抢鲜看:#今日影评Mtalk# 詹姆斯卡梅隆携新作《阿丽塔：战斗天使》对话刘慈欣时谈到，刘慈欣的科幻故事“让中国的科幻电影上了新的台阶，让不同的导演去探索这些故事，只需要鼓励他们做就好了”。现阶段来看，电影《流浪地球》无疑迈出了成功的一步，导演郭帆在尊重刘慈欣 原著的基础上又新增了自己的探索。 http://t.cn/EatnH0J ,无,无,2019/4/22 16:00,微博网页,0,0,0
HqOj6gqrh,wlaash__球球听季哥哥的话,女,四川,547,205,wlaash__球球听季哥哥的话:#复仇者联盟4:终局之战# 说起零点场，上上个是队3，上一个是流浪地球。但都很开心淡定来着。这次不一样。昨天晚上，准确说是今天凌晨叭，我开始做梦，梦见我在看超前点映，梦里有模有样，还有主持人说看完凭票领海报和卡片？？？我旁边座位的提前领了，本人很担忧一会儿不够，然后电影开始后跑去IMAX厅门口领海报，然后又担心，超前点映的后半段我的零点场就要开始了，是去还是不去。我还想着想喝奶茶，几个小时前先买好OK？？？纠结着纠结着，我的闹钟响了🙃第一件事就是打开app看我到底啥时候去看电影。弄错了我估计要后悔一辈子。 ,无,无,2019/4/22 15:28,唐家堡特供iPhone X,2,0,0
HqNL52kse,威海科技,男,山东,126,3009,威海科技:国际合作谱写深空探测未来2019-04-22 10:28:04　来源: 科技日报 作者: 胡定坤 4月18日，中国国家航天局向瑞典、德国、荷兰交接嫦娥四号载荷数据，并向全球发布嫦娥六号及小行星探测任务合作机遇公告。我国深空探测国际合作向前迈出扎扎实实的一大步！冷战期间，空间探测更像一场竞赛，美苏两国争相登陆月球、飞向火星、追逐金星，甚至向太阳系边界进发，仿佛谁探测得更远，谁就在太空说了算。近年来，深空探测再度兴起，合作渐渐成为主流。探测月球，美国主导月球空间站（Gateway）建设，俄、日、欧、加多国参与。探测火星，俄、欧携手开展“ExoMars”任务寻找火星生命，美、欧合作探索火星取样返回。探测水星，欧、日联合研制“比皮科伦坡”已顺利启航。深空探测为何更要国际合作？首先是难度大、成本高。深空探测距离远，大推力火箭、深空测控与导航这些高门槛技术缺一不可。技术更先进自然更烧钱，一次深空探测任务动辄耗资数十亿美元。多国合作能够各取所长、有效分摊成本。此外，深空探测往往以研究地球、太阳系和宇宙，开发利用空间资源为目的，了解地球起源、缓解资源危机，这些本来就是关乎全人类的事。“一个人只能走得快，一群人才能走得远”，只有通过国际合作，才能开展更多、更深入的深空探测任务。设置合作壁垒、抗拒合作大潮，无异于故步自封。国际合作开展深空探测，中国已做好准备。通过探月工程系列任务引领，我国已掌握月球探测的基本技术，正在规划探测火星、小行星等任务，已具备与美、俄等航天强国对等合作的科技实力。经过嫦娥四号国际载荷等项目的历练，我国也初步积累了深空探测领域的国际合作经验。此外，中国人热爱航天，对宇宙有无限的探索欲望，从《流浪地球》的火热程度可见一斑，这是我国以国际合作方式开展大型深空探测任务的民意基础。我国的深空探测国际合作，绝非不掌握核心技术、单方面求合作的“借船出海”，而是掌握科技自主权、实现平等互惠的“同舟共济”，甚至是主动提出方案、打造合作平台的“造船出海”。总之，未来的深空探测，中国航天绝不缺席！ ,无,无,2019/4/22 14:04,专业版微博,1,0,0
HqNKtclYE,华图王洪光,男,北京,614,17650,华图王洪光:#内蒙古公职系统面试题# 2019年3月29日上海市考面试题1、执行力非常重要，没有执行力再好的政策也无法实施，再好的理想也无法落地。请你举1-2个例子说明你是如何提升自己的执行力从而实现目标的？2、春节期间流浪地球大火，引发了群众白热化的关注和讨论，对此，你怎么看？3、你单位要对上海老字号产品做推广宣传，加大产品的销量，由你负责组织，请问你计划如何开展？4、学校布置小学生暑假在社区进行社会实践活动，但小学生反映社区没有安排实践活动，社区居委会解释说因场地、资金、安全等问题不愿组织活动，假如你是街道办工作人员，你会如何解决？5、我国不是判例法国家，但最高检最高院近几年发布了多批指导案例，请问你怎么看待这些指导案例? ,无,无,2019/4/22 14:02,微博 weibo.com,1,0,0
HqNC7em9A,寒枝瘦叶嗅冷香,女,西藏,140,75,寒枝瘦叶嗅冷香:#孟美岐首张个人ep#山支大哥#孟美岐舞蹈#篮球大唱片%给爸妈的信^挑战孟美岐的biki照&星唇妆>2019还要一起<幸运球<资源:高洁丝100年品牌大使;加油:个人首封》终于发vlog了<ELLEMEN新青年*继续努力永不认输*急出东北话&三行情书;第一之所以为第一^康师傅冰红茶燃战队代言人，深远~蒙牛纯甄好喝鉴定官^用孟美岐的方式说情话碧瑶]横冲直撞20岁，中华魔丽迅白*小时候》流浪地球，空中软带舞%岐遇%好好看&犟]时尚健康秒切*能穿鞋跳舞了.电子刊[童年照%ep ,无,无,2019/4/22 13:42,微博 weibo.com,0,0,0
HqNwJjaXG,星鬼_海星,女,湖北,387,423,星鬼_海星:又发出了想写日常的声音。如果韩朵朵的父母没有牺牲，如果王磊的妻女没有牺牲，如果Tim不用北迁避难，如果CN171-11不用临时组成一个小队，如果刘启只是单纯和刘培强不对付，如果太阳没有氦闪没有流浪地球，如果他们都活在黄金时代。我知道有些东西不会变，有些东西会，但我就想看这帮人又聚在一起，在阳光下和海滩上。 ,无,无,2019/4/22 13:29,HUAWEI Mate 10 Pro,2,1,2
HqNv1uMmB,小五每天都要努力鸭,女,海南,45,146,小五每天都要努力鸭:流浪地球，#春节档电影排名##流浪地球# 票房趣味预测：我cai是第四名：流浪地球  支持国产科幻片，支持吴京。在喜剧片占据的春季档能看到国产科幻元素的片子，令人欣喜，科幻迷的大爱。本片改编自刘慈欣的原著，故事很有新意，与以往逃离地球寻找其他生存地影片不同，而是“带着”地球一起走，逃离太阳系，也是灾难片。相信这部片子上映后很多人会和国外的科幻片作对比，视野？特效？科技感？不管怎么说，流浪地球填补了中国科幻电影市场的空白，或许是打开了另一个市场。《流浪地球》2 http://t.cn/EcuOVyR  ,无,无,2019/4/22 13:24,iPhone客户端,0,0,0
HqNoYhog8,读书日签,女,湖北,225,618944,读书日签:【转发赠书】#莫负春光读书日#《#我的爸爸在火星#》儿童情感版《#流浪地球#》，小白马生命教育系列接力之作。当当读书节，满100-50！！！ 购物链接：http://t.cn/EXfTHO9孤独等待父亲归来的小男孩詹姆斯；失去母亲怀揣愧疚的女孩阿斯特拉；隐藏真相独自悲伤的母亲；不愿面对真相故作轻松的父亲……他们可能不够坚强不够勇敢，但是经历了失去和得到，依然可以说“我爱你”，就是意义。愿爱与勇气，可以带你穿越宇宙，去往最爱的人身边。转发并关注我，2本随机送，4月29日截止！感谢@小白马童书馆 图书赞助！ [组图共9张] 原图 ,无,无,2019/4/22 13:09,小米Note 3 拍人更美,31,152,28
HqNkYkGjY,上海热线,男,上海,973,102496,上海热线:据猫眼专业版票房数据显示，截至4月21日22:31:45，《复仇者联盟4：终局之战》中国内地预售票房突破5亿元，目前距该片正式上映还有两天，仍将继续打破纪录。有些网友认为，按如此强劲的预售票房走势来看，该片中国内地票房难道能超#战狼2# #流浪地球# ？全球票房能超#阿凡达# #泰坦尼克号# ？让我们拭目以待吧！http://t.cn/EaVeKbG复联四预售##复联4破零点场票房纪录# 原图 ,无,无,2019/4/22 13:00,微博 weibo.com,0,0,0
HqMaJgUzu,闲人苏小小,女,浙江,1113,159,闲人苏小小:《流浪地球》中描述飞向新星系的空间站懈怠了人类所有已知动植物的dna图谱，且不论是否能复活成动植物，人们会疑惑，人类都如此高智能了，复活这些低级的动植物干什么？多么的——无意义！是的，人生就是无意义的，但不复活那些动植物也是无意义的。复活它们，就是人类自娱自乐的活动吧，日子总要混过去的。 ,无,无,2019/4/22 10:02,微博 weibo.com,1,0,0
HqM9U7LME,黄家湖工商之声,女,湖北,262,4932,黄家湖工商之声:#节目预告# 背着地球去流浪，这是一个多么奇妙而又浪漫的想法，而在2019年歌手上，刘欢老师就将这样一个想法融入到了歌曲中，这就是今年贺岁档的爆款流浪地球的主题曲，而流浪地球的原作者刘慈欣也被顶上了热搜，那么今天，田田就带领你走进作家刘慈欣的世界，一小段音乐过后，就和田田一起进入今天的金谷园吧。 原图 ,无,无,2019/4/22 10:00,微博 weibo.com,0,0,0
HqExr8BqF,只想葛优躺的小霸王,女,北京,455,237,只想葛优躺的小霸王:电影：《新喜剧之王》 我暗暗发誓，以后只要是周星驰的电影，无论公众号的评价有多差，我都会去影院看。贺岁档电影里，除了流浪地球，这应该是最好的一部了。相比之下，疯狂外星人真的是无趣又肤浅。周星驰的无厘头，画质和演员，都似乎看上去不那么专业，却有种蓬勃的生命力，抓人眼球，讲故事的思路也是奇特。王宝强演技真的棒，女主角也很赞。 ,无,无,2019/4/21 14:36,iPhone客户端,1,0,0
HqBNJedWe,qulima1,女,北京,140,267,qulima1:#李光洁[超话]#恭喜《流浪地球》荣获第九届#北京国际电影节# “天坛奖·最佳视觉效果”奖项！#李光洁电影流浪地球##中国队长李光洁#辛苦付出，终有所得，实至名归！@电影流浪地球 🌹🌹   原图 ,无,无,2019/4/21 7:37,李光洁超话,11,0,4
HqzCXABFR,不知名1f,女,其他,315,10663,不知名1f:#没有感情的1f[超话]##孟美岐碧瑶# 山支大哥 #孟美岐流浪地球# 蓝色生死恋”挑战自我～直拍！跳舞💃小时候～横冲直撞二十岁*一封家书&生而为赢-空中软带舞\有种…硬照杀手-C位？壁纸》新歌•好好看%中华魔丽迅白牙膏；舞台王者』绝美音色（童年照、2019还要一起，与孟美岐的五年之约认真努力绝不放弃👍实力派歌手孟美岐 ,无,无,2019/4/21 2:05,没有感情的1f超话,0,0,0
HqyUQwRJg,玉莹豆米宝,女,上海,728,743,玉莹豆米宝:#李易峰 这就是电影#北京国际电影节闭幕式开场表演李易峰实力演绎《这就是电影》华丽转身 倾情歌唱 燃爆全场歌舞情景剧 美轮美奂 精彩绝伦峰峰同时cue了多少部电影呢答案揭晓：《大闹天宫》《城南旧事》《巴山夜雨》《归心似箭》《飞驰人生》《理想之路》《太行山下》《开国大典》《小萝莉的猴神大叔》《云图》《精灵鼠小弟》《烈日灼心》《音乐家》《红海行动》《流浪地球》《建军大业》《无名之辈》《泰囧》《港囧》《人在囧途》《中国合伙人》《乘风破浪》《渴望》《机械师》《西虹市首富》《小家伙》《一代宗师》《喜剧之王》《狮子王》《海上钢琴师》《太空漫步》《变形金刚》《黎明忽至》《麻雀之歌》《阿飞正传》《星际迷航》《让子弹飞》《星际穿越》共计38部电影 http://t.cn/Ea2qW3b ,无,无,2019/4/21 0:17,iPhone客户端,15,0,1
Hqyky7SUy,啼空山,男,江苏,3,2,啼空山:#江苏师范大学青年志愿者协会[超话]##樱花绽放季，读书打卡时# 微博读书打卡第十天  《流浪地球》 科幻是以现有的前沿科技为基础，以严谨的逻辑，推导预测将来之事。好的科幻作品，是对人类未来写实性的展望，譬如大家熟知的《海底两万里》。简而言之，一个优秀的科幻小说家应该是有科学依据的预言家。以一个普通读者的观感而言，科幻推开了一扇门，门外不是诗和远方，是星辰大海，是辽阔高远，是一个更恢弘的世界。@江苏师范大学青年志愿者协会 @江苏师大团委 原图 ,无,无,2019/4/20 22:47,小米6X 拍人更美,0,0,0
HqxYTDUqT,爱奇艺娱乐,男,北京,2187,4899501,爱奇艺娱乐:【第九届#北京国际电影节# 完整版获奖名单】《幸运儿彼尔》获最佳影片，拉斯洛·奈迈施凭借《日暮》获最佳导演，《第十一回》摘得最佳编剧，阿里斯·瑟夫塔利斯凭借《侍者》斩获最佳男主角，弗鲁格·凯哲贝格里凭借《德黑兰：爱之城》斩获最佳女主角。完整版获奖名单如下↓最佳影片奖>《幸运儿彼尔》最佳导演奖> 《日暮》拉斯洛·奈迈施最佳编剧奖>《第十一回》最佳男主角>《侍者》 阿里斯·瑟夫塔利斯最佳女主角> 《德黑兰：爱之城》弗鲁格·凯哲贝格里最佳男配角>《战火星球》约翰·亨肖最佳女配角>《第十一回》窦靖童最佳视觉效果奖>《流浪地球》最佳音乐奖>《侍者（The Waiter）》最佳摄影奖>《恐惧（Fear）》全程内容回顾>http://t.cn/EaAYaMu更多精彩 PC端>http://t.cn/E6OOnDc 移动端>http://t.cn/EXLzKfM 原图 ,无,无,2019/4/20 21:54,微博 weibo.com,41,4,8
HqxXb0vUe,1905电影网官博,女,北京,467,945024,1905电影网官博:第九届#北京国际电影节# 落下帷幕，天坛奖10个大奖悉数颁出。 天坛奖完整名单：天坛奖：《幸运儿比尔》（丹麦）最佳导演：拉斯洛·奈迈施《日暮》（匈牙利）最佳男主角：阿里斯·瑟夫塔利斯《侍者》（希腊）最佳女主角：弗鲁格·凯哲贝格里《德黑兰，爱之城》（伊朗/英国/荷兰）最佳男配角：约翰·亨肖《战火星球》（德国/英国）最佳女配角：窦靖童《第十一回》（中国）最佳编剧：陈建斌等 《第十一回》（中国）最佳摄影：尼克·普利文《恐惧》（印度）最佳视觉效果：《流浪地球》（中国）最佳音乐：科蒂·K《侍者》（希腊） [组图共8张] 原图 ,无,无,2019/4/20 21:50,搜狗高速浏览器,26,7,0
HqxC64wsH,边玩边赚旅行体验师,男,湖南,313,133,边玩边赚旅行体验师:每一个成功品牌背后[爱心]总是会有一群出色的人组成湖南卫视当家花旦主持人[强][强]领衔带你一起【环球旅行 边玩边赚】这将是你有生以来参与做过的既好玩又赚钱的创业项目平庸还是出色？期待你的正确抉择@全球旅游攻略 @全球顶尖摄影 @旅游约吗 @一起来旅游 @金莎 @陈乔恩 @蔡依林 @霍尊 @戴佩妮 @何炅 @赵丽颖 @人民日报 #旅行新势力##创业项目[超话]##流浪地球# http://t.cn/Eaw8s6A ,无,无,2019/4/20 20:58,微博视频,0,0,1
HqxBs7J7Z,李光洁洁光片羽后援团,男,重庆,669,73822,李光洁洁光片羽后援团:『喜讯』#李光洁[超话]#当太阳即将吞噬地球，人类将归于何处？@FrantGwo郭帆 导演的硬科幻电影《流浪地球》，无论是题材，效果还是内容，都是中国电影史上的一大突破。展示了独特的视觉效果和家国情怀，开启了中国科幻电影的新纪元。恭喜《流浪地球》荣获第九届#北京国际电影节# “天坛奖·最佳视觉效果”奖项！@李光洁 作为主创之一，饰演的队长王磊牵动人心，可圈可点，十分出彩。#中国队长李光洁# 感谢光洁和主创们的辛苦付出，不可多得的好电影，实至名归！@电影流浪地球 #李光洁电影流浪地球# 🌹 🌹 🌹 🌹  原图 ,无,无,2019/4/20 20:56,李光洁超话,25,8,13
HqxwpdRH9,鸣株1224,女,湖北,193,679,鸣株1224:#一百天感恩日记# day 11/100       今天肠胃炎，窝在家里看了新喜剧之王，比流浪地球好看多了嘛。        想起9年前在实践大学的女生宿舍，我半夜十二点急性肠胃炎，疼的失去知觉和意识，根本没力气走在马路上，随时要坐下。第二天就要期中考试，舍友们扶着我出了大门，在学校门口拦出租车，送我去荣军医院。我还记得花生米说，憨豆坚持一下，坚持到医院。        到了医院，护士第一时间推来轮椅，带我去急诊室、输液。花生米，小尤，魏宁，思蔚陪着我，后来实在太晚第二天还要考试，赶紧让大家回去休息。          很感谢当时的室友们，对我这么关爱，即使有考试，还是以照顾我为优先。       谢谢你们，除了花生米，其他人后来再也没见过，内心深处祝福大家一切都好。好希望有机会再去一次，青春的殿堂 ,无,无,2019/4/20 20:44,iPhone客户端,2,0,0
HqxuLwPvV,朝旭洪,男,其他,84,4621,朝旭洪:第九届北京国际电影节闭幕新华社图片04-2020:15新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，电影《一级指控》剧组成员亮相闭幕红毯。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 张玉薇 摄新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，电影《侍者》剧组成员亮相闭幕红毯。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 孟永民 摄新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，电影《音乐家》剧组成员亮相闭幕红毯。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 孟永民 摄新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，电影《古城片警》剧组成员亮相闭幕红毯。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 张玉薇 摄新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，电影《记忆切割》剧组成员亮相闭幕红毯。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 刘金海 摄新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，郭采洁在闭幕红毯上与影迷互动。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 金马梦妮 摄新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，电影《忠爱无言2》剧组成员亮相闭幕红毯。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 张玉薇 摄新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，影迷们在闭幕红毯上。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 唐奕 摄新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，电影《变色龙之绝杀》剧组成员亮相闭幕红毯。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 沈伯韩 摄新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，刘晓庆亮相闭幕红毯。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 唐奕 摄新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，电影《催眠·裁决》剧组成员亮相闭幕红毯。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 张玉薇 摄新华社照片，北京，2019年4月20日 第九届北京国际电影节闭幕 4月20日，电影《流浪地球》导演郭帆（左二）亮相闭幕红毯。 当日，第九届北京国际电影节在北京怀柔国家中影数字制作基地闭幕。 新华社记者 金马梦妮 摄 ,无,无,2019/4/20 20:40,微博 weibo.com,1,0,0
HqxsKgsAK,无用yang,女,广东,150,1243,无用yang:今天早点睡，这几天太忙，#孟美岐 犟# 山支大哥 #孟美岐幸运球#岐遇，《第一之所以为第一，<首张个人ep，星唇妆:个人首封，舞蹈^康师傅冰红茶燃战队代言人，履险如夷~一封家书*ELLEMEN新青年%能穿鞋跳舞了:2019还要一起*童年照:幸运球>急出东北话》资源:碧瑶&给爸妈的信].好好看》加油》电子刊%流浪地球 [组图共3张] 原图 ,无,无,2019/4/20 20:35,无,0,0,0
Hqx6ayR2z,孟嘚斯啾49_mmq,女,其他,124,63,孟嘚斯啾49_mmq:#孟美岐[超话]#mmq#孟美岐 犟# 什么是EP？迷你专辑（英语：Extended play，俗称EP或细碟）是指收录歌曲数目介于单曲与专辑之间的音乐出版品。单曲一般指1首歌曲；而EP通常包含了1至3首曲目。本次孟美岐新专辑《犟》共包含2首歌曲一张EP只需要10元即可获得@火箭少女101_孟美岐 的绝美嗓音这也是孟美岐继个人单曲#有种(电影《流浪地球》推广曲)[音乐]#后的首张个人EP 大家都很重视 也欢迎各位路人粉多多关注[太开心] ,无,无,2019/4/20 19:39,华为手机 畅享玩不停,1,0,0
Hqx2cpTgb,小黄宝贝的姐姐,女,北京,598,130,小黄宝贝的姐姐:#用孟美岐的方式说情话#山支大哥#孟美岐幸运球#科颜氏首位美肤体验官^康师傅冰红茶燃战队代言人<ELLEMEN新青年^时尚健康秒切童年照&高洁丝100年品牌大使:履行~终于发vlog了>资源:舞蹈%继续努力永不认输<蒙牛纯甄好喝鉴定官<岐遇》犟;中华魔丽迅白&星唇妆》急出东北话》首张个人ep<三行情书<好好看<给爸妈的信》流浪地球*小时候.挑战孟美岐的biki照;ep:加油^空中软带舞*2019还要一起^能穿鞋跳舞了.第一之所以为第一[电子刊.碧瑶%个人首封>篮球大唱片》 ,无,无,2019/4/20 19:29,微博 weibo.com,0,0,0
HqtpHuNwr,谁不爱吃草莓啊,女,四川,73,45,谁不爱吃草莓啊:#孟美岐[超话]# #孟美岐 犟##孟美岐终于发vlog了# 由于都在紧张准备EP，所以明星势力榜今天40多名咯现在就靠我们每个人参与进来做一下这个数据了~很简单的，半分钟就OK：1，搜孟美岐名字或进入孟美岐微博首页，点进内地榜2，点击“去看看”，大体浏览一下岐岐微博3，点击“去转发”，转发微博，如图74，点击“发微博”，如图85，打击“加能量”带相关正能量微博话题#脱贫攻坚战星光行动##正能量偶像孟美岐# 转发+评论+@火箭少女101_孟美岐  ，如图96，送花就自己斟酌吧，我的钱都是犟宝的做完净化打卡吧！#孟美岐 犟##孟美岐终于发vlog了##孟美岐跳舞# 山支大哥 #孟美岐一封家书# 与孟美岐的五年之约”岐遇，直拍好好看～空中软带舞%有种，碧瑶*流浪地球_横冲直撞二十岁•全能C位！舞台王者。三行情书？中网公益之旅，童年照、中华魔力迅白牙膏&高洁丝100年品牌大使：生而为赢？能穿鞋跳舞了、寄给你全宇宙的爱。@火箭少女101_孟美岐 [组图共9张] 原图 ,无,无,2019/4/20 10:16,孟美岐超话,33,1,41
Hqt78x6V6,阅读书签,男,江苏,390,980495,阅读书签:【转发赠书】#莫负春光读书日#《#我的爸爸在火星#》儿童情感版《#流浪地球#》，小白马生命教育系列接力之作。当当读书节，满100-50！！！ 链接：http://t.cn/EXfTHO9孤独等待父亲归来的小男孩詹姆斯；失去母亲怀揣愧疚的女孩阿斯特拉；隐藏真相独自悲伤的母亲；不愿面对真相故作轻松的父亲……他们可能不够坚强不够勇敢，但是经历了失去和得到，依然可以说“我爱你”，就是意义。愿爱与勇气，可以带你穿越宇宙，去往最爱的人身边。关注并转发本条微博，#阅读书签[超话]# 将于4月27日抽3名赠书。 [组图共9张] 原图 ,无,无,2019/4/20 9:31,微博 weibo.com,710,826,263
HqsJ0ucAA,北京青年报,男,北京,1464,11422433,北京青年报:【探索科技！和孩子们一起带着地球去流浪】《流浪地球》中的“黑科技”能否变为现实？未来我们又会如何迈入太空？来北大附中石景山学校听听“未来科学家”们怎么说。电影《流浪地球》的编剧和首席概念设计师等大咖，也将现场和孩子们一同挖掘电影中的科技元素，来看#北青直播#吧！ http://t.cn/EaPQkDf . ,无,无,2019/4/20 8:31,微博网页版,57,2,2
HqsA0AFhi,静远会计服务,女,江苏,440,91,静远会计服务:2019年1-3月看了好些个电影尤其2月春节几步热门电影都没落下细细一数也贡献了一nainai票房：大黄蜂、疯狂外星人、新喜剧之王、飞驰人生、惊奇队长、驯龙高手3、阿丽塔、流浪地球and绿皮书and之前的一堆名字对我都是过眼烟云独独《绿皮书》我是想再看n遍的下图剧照里前座是糙汉子托尼后座是王者范的雪利博士 此人乃真王者电影说的就是托尼和雪利的故事故事根据真人真事改编 背景是balabala情节是delideli 看了自然会心会意我只想说看完电影的一段时间里莫名觉得自己心境提高了几个level好像身体里也一直住着托尼和雪利电影结尾托尼和雪利深深拥抱我身体里的托尼情怀和雪利情怀亦是如此看一部电影 溶解自己 温暖自己欢迎《绿皮书》加入我心里的n遍观影清单 原图 ,无,无,2019/4/20 8:09,iPhone客户端,3,0,1
HqodYCB3z,第九期青马二班彭建,男,江西,8,21,第九期青马二班彭建:#江理应科9th青马工程# 经过这么多年的付出中国电影打破美国的世界英雄垄断，为我大中华感到骄傲!!!文化软实力的提高是国家实力提高的重要部分，中国国际影响力的提高是《流浪地球》大获成功的重要原因! ! !中国正走向世界!中华民族的伟大复兴梦的实现指日可待! ! !国之强大在于我青少年!诸位!加油…@江理应小科 @江理应科9th青马工程 http://t.cn/R2WJDoQ 显示地图 [组图共3张] 原图 ,无,http://t.cn/R2WJDoQ,2019/4/19 21:04,荣耀手机 勇敢做自己,1,0,0
Hqo05hvbv,上党落子,男,山西,2781,582947,上党落子:#刘慈欣去年版税收入1800万#恭喜刘慈欣名利双收！4月14日，刘慈欣当选山西省作家协会副主席，今天又看到他以1800万版税雄居作家榜榜首，他是山西人的骄傲也是中国科幻文学界的骄傲！国人看惯了《黑客帝国》《变形金刚》《阿凡达》《盗梦空间》《银翼杀手》《星际穿越》等国外的科幻电影，直到年初《流浪地球》的上映才让人惊叹咱们中国人也可脑洞大开，也可以斩获46亿的骄人票房收入，这都离不开刘慈欣的小说，无论从文学成就还是市场认可他的所获所得都当之无愧！ http://t.cn/z8Aivt0 显示地图 原图 ,无,http://t.cn/z8Aivt0,2019/4/19 20:29,HUAWEI Mate 10,10,1,0
HqkURvDfA,aska的紫貝殼,男,其他,72,320,aska的紫貝殼:#杨宗纬#   #杨宗纬声声声声vocal巡唱plus# 5月4日周六 南京五台山体育馆 “一省一天团” 天团之夜演唱会炸了！百万明星演唱会门票免费送！燃爆4月!(分享自 徐州红星美凯龙 ) #杨宗纬流浪地球#  #杨宗纬moneymoney# #杨宗纬宸汐缘片头主题曲#  原图 ,无,无,2019/4/19 12:38,杨宗纬超话,35,36,45
HqkDQ5wYm,武汉单身交友,女,其他,82,100474,武汉单身交友:#武汉网红# 【武汉地下1012.56米啥模样？ 建《流浪地球》中的“地下城”没问题】17日下午，400多箱由钻井挖掘出的岩心样品运抵武汉市测绘研究院，初步揭开长江新城这一带地下千余米的神秘面纱。这是我市城区范围内有史以来最深的钻井岩芯取样， 地质稳定性良好，建高楼没问题。 武汉的地下空间可以开发到什么程度？电影《流浪地球》中的地下城有可能变为现实吗？调查人员坦言，以现在的工程技术手段，可以说是潜力无限大，“现在地下20-30米可以建地铁，方便人们出行。未来，多样化开发的‘地下综合体’是发展大趋势，所以，没有什么不可能实现。”（武汉晚报） [组图共2张] 原图 ,无,无,2019/4/19 11:56,微博 weibo.com,0,0,0
